alpha,K,network,diversity,stability,biomass
0.92,0.1,1.0,1.0,-1.1474549716781566e-8,0.10683760683760031
0.92,0.16681005372000587,1.0,0.9999999999999999,-1.73625742792314e-8,0.17821586935898046
0.92,0.2782559402207124,1.0,1.0,-1.103362665736399e-8,0.29728198741527545
0.92,0.4641588833612779,1.0,0.8449144155616699,-0.0005608186733610131,0.4959148307090094
0.92,0.7742636826811271,1.0,0.8071698479454665,-0.006843344164734556,0.8264417632449127
0.92,1.2915496650148839,1.0,0.7402926142982524,-0.05564034566554141,1.3789851509426228
0.92,2.154434690031884,1.0,0.5578635678565862,-1.347905138149203,2.282862148152954
0.92,3.5938136638046276,1.0,0.4883907442009489,-0.7205716264440926,3.752364594182757
0.92,5.99484250318941,1.0,0.3743691653814916,-0.7740722852725795,6.1685887054902615
0.92,10.0,1.0,0.24778928271243894,-1.0381369431985876,10.190023988659407
1.0,0.1,1.0,0.0809412613845604,-5.755256332624768e-16,0.09999999999999984
1.0,0.16681005372000587,1.0,0.26069087597480467,-1.5216433466849958e-15,0.16681005372000549
1.0,0.2782559402207124,1.0,0.10665192256275693,-1.1920429983073396e-15,0.2782559402207119
1.0,0.4641588833612779,1.0,0.07555436014373867,-2.705212244231008e-15,0.46415888336127537
1.0,0.7742636826811271,1.0,0.014943594300338875,-7.88199791041831e-16,0.7742636826811257
1.0,1.2915496650148839,1.0,0.19351637532598365,-7.33427115430538e-16,1.2915496650148834
1.0,2.154434690031884,1.0,0.06798684142986657,-6.37587661776362e-15,2.154434690031854
1.0,3.5938136638046276,1.0,0.19603170927605484,-5.425971206240732e-16,3.593813663804629
1.0,5.99484250318941,1.0,0.04126800070953077,-3.94123704526336e-16,5.994842503189416
1.0,10.0,1.0,0.08274304205296945,-1.061380288834754e-15,10.000000000000002
1.08,0.1,1.0,NaN,-5.822121277737059e-13,0.0999999999998543
1.08,0.16681005372000587,1.0,NaN,-1.9072970334034924e-14,0.1668100537200157
1.08,0.2782559402207124,1.0,2.228688890542886e-28,-1.1206063283870561e-14,0.2782559402207132
1.08,0.4641588833612779,1.0,NaN,-5.99587217052096e-15,0.464158883361286
1.08,0.7742636826811271,1.0,NaN,-1.1390153159218782e-14,0.7742636826811548
1.08,1.2915496650148839,1.0,NaN,-6.938537591463003e-15,1.2915496650148588
1.08,2.154434690031884,1.0,NaN,-7.630570641262029e-15,2.154434690031846
1.08,3.5938136638046276,1.0,NaN,-9.807201301840251e-16,3.593813663804638
1.08,5.99484250318941,1.0,NaN,-2.0048920187296552e-15,5.994842503189427
1.08,10.0,1.0,NaN,-3.418992861693974e-16,10.0
0.92,0.1,2.0,0.9999999999999998,-9.482015232533157e-9,0.10736196319017653
0.92,0.16681005372000587,2.0,0.9999999999999982,-4.782424685600526e-8,0.17909054847239725
0.92,0.2782559402207124,2.0,0.9357849740191962,-4.1448366207482314e-8,0.2987410401140188
0.92,0.4641588833612779,2.0,0.9930647771940505,-8.612505738057114e-8,0.4983300894963131
0.92,0.7742636826811271,2.0,0.7802671262985659,-0.04368462081429297,0.8322773703802049
0.92,1.2915496650148839,2.0,0.7385720818215739,-0.5955774944011406,1.402428599749744
0.92,2.154434690031884,2.0,0.839250682394948,-0.25618510880191225,2.2535220063950536
0.92,3.5938136638046276,2.0,0.6431570368103292,-1.3306617728947845,3.283886098604329
0.92,5.99484250318941,2.0,0.5784612418230385,-1.749263354371437,4.405916578022955
0.92,10.0,2.0,0.4924496075498327,-2.577930448476306,5.6043803413804865
1.0,0.1,2.0,0.02878486075174434,-5.300315851299366e-15,0.10000000000000132
1.0,0.16681005372000587,2.0,0.1600905335156729,-4.129499473373864e-15,0.16681005372000682
1.0,0.2782559402207124,2.0,0.4602378041889448,-8.659231994286237e-14,0.27825594022065425
1.0,0.4641588833612779,2.0,0.6322447671183697,-3.144505948817383e-13,0.4641588833609262
1.0,0.7742636826811271,2.0,0.179254167871525,-9.919833343007387e-16,0.7742636826811287
1.0,1.2915496650148839,2.0,0.49699373834871485,-0.7789023071978805,1.3073714993904124
1.0,2.154434690031884,2.0,0.5896887574461229,-1.1651964726416322,2.108950681803972
1.0,3.5938136638046276,2.0,0.625946924656405,-1.3338832588490537,3.159861870962069
1.0,5.99484250318941,2.0,0.5713770108650061,-1.4831968254179413,4.305264003821152
1.0,10.0,2.0,0.4925315238187361,-2.094393737807345,5.514870980827107
1.08,0.1,2.0,NaN,-5.5918173542837306e-14,0.10000000000001569
1.08,0.16681005372000587,2.0,NaN,-6.8786592671525685e-15,0.16681005372000868
1.08,0.2782559402207124,2.0,6.970249316723306e-26,-3.9122394804403035e-12,0.27825594022207156
1.08,0.4641588833612779,2.0,NaN,-8.695806820114252e-13,0.46415888336230343
1.08,0.7742636826811271,2.0,2.0867163812114837e-27,-2.0366821030885972e-14,0.7742636826811643
1.08,1.2915496650148839,2.0,0.25836219135617267,-1.2642199039930162,1.2783092493588302
1.08,2.154434690031884,2.0,0.39188967919589923,-1.7312788196629352,2.0019383529264267
1.08,3.5938136638046276,2.0,0.5399791692216861,-1.60737568789945,3.0176513031363865
1.08,5.99484250318941,2.0,0.5069978724470617,-1.7278952554123241,4.106073381673716
1.08,10.0,2.0,0.5651793905222597,-1.8586649243695506,5.496815281012956
0.92,0.1,3.0,0.9999999999998809,-5.204971621407464e-8,0.10765550239167851
0.92,0.16681005372000587,3.0,0.999999999997161,-8.267783556541085e-7,0.17958020136807576
0.92,0.2782559402207124,3.0,0.9999999999996944,-3.4849963071068686e-7,0.2995578303779947
0.92,0.4641588833612779,3.0,0.954242509438811,-4.608393920943305e-7,0.4996925777792037
0.92,0.7742636826811271,3.0,0.9418625861002399,-0.00045373398721631705,0.8336327024085776
0.92,1.2915496650148839,3.0,0.8439574543127931,-0.1185384937050069,1.4265497477516793
0.92,2.154434690031884,3.0,0.782506224252333,-0.9995188901990018,2.160610811415202
0.92,3.5938136638046276,3.0,0.7311482180584881,-1.0732073184321462,2.7984142434251695
0.92,5.99484250318941,3.0,0.6952883990811393,-1.2356077224048658,3.365591007582723
0.92,10.0,3.0,0.5846753347483669,-1.4712035319498962,3.843007467802422
1.0,0.1,3.0,0.6934657972813761,-2.081446118054641e-14,0.10000000000000472
1.0,0.16681005372000587,3.0,0.9120116388179256,-1.231227413945808e-14,0.16681005372000496
1.0,0.2782559402207124,3.0,0.7359208272341002,-1.1151590250823987e-14,0.27825594022071387
1.0,0.4641588833612779,3.0,0.5819001836379732,-2.7964479366966247e-15,0.464158883361277
1.0,0.7742636826811271,3.0,0.6955090767660135,-0.03277258238034397,0.7742636825791351
1.0,1.2915496650148839,3.0,0.5979137837911035,-1.3396023291029997,1.3058084274749528
1.0,2.154434690031884,3.0,0.7042886666018248,-0.8782650812124357,2.0685002784018436
1.0,3.5938136638046276,3.0,0.6434863336610118,-1.0068416882493858,2.70343368767186
1.0,5.99484250318941,3.0,0.6231492236082754,-1.4115959324658383,3.32283577755741
1.0,10.0,3.0,0.5743689645043393,-1.4238270932604953,3.832050584501952
1.08,0.1,3.0,3.0249007876885843e-27,-5.2662215252121825e-14,0.1000000000000137
1.08,0.16681005372000587,3.0,2.657493339066145e-27,-4.069805973369608e-13,0.1668100537200284
1.08,0.2782559402207124,3.0,NaN,-3.898973108120843e-13,0.27825594022084377
1.08,0.4641588833612779,3.0,NaN,-1.4705103749158454e-13,0.4641588833611154
1.08,0.7742636826811271,3.0,0.22636194293706927,-0.24263477662224692,0.779852066852152
1.08,1.2915496650148839,3.0,NaN,-4.8072262354264615e-14,1.2915496650150744
1.08,2.154434690031884,3.0,0.2916231977330184,-0.9939853962710526,2.0445992239247235
1.08,3.5938136638046276,3.0,0.45182168082881946,-1.0778666793320522,2.660053516288814
1.08,5.99484250318941,3.0,0.46125311022910004,-1.583872181558569,3.3198881165515433
1.08,10.0,3.0,0.4404991158367037,-1.3956516237824603,3.803732797174388
0.92,0.1,4.0,1.0,-1.0057588414310733e-8,0.10683760683759569
0.92,0.16681005372000587,4.0,0.9784278131612323,-4.08007407307301e-9,0.17821586935898065
0.92,0.2782559402207124,4.0,1.0,-1.1727835714604648e-8,0.2972819874152585
0.92,0.4641588833612779,4.0,0.8230947147869132,-0.0003268305016971537,0.4959459872637944
0.92,0.7742636826811271,4.0,0.7773914780268159,-0.008359949320921442,0.8251839657547365
0.92,1.2915496650148839,4.0,0.7179406554616568,-0.4715828622858169,1.3925442033999342
0.92,2.154434690031884,4.0,0.5810589994496279,-1.4265078296138223,2.225463390040353
0.92,3.5938136638046276,4.0,0.6273916285499259,-1.1944269309862485,3.019291989738231
0.92,5.99484250318941,4.0,0.631653849909437,-1.5498396790864908,3.915610704136752
